msno,payment_method_id,payment_plan_days,plan_list_price,actual_amount_paid,is_auto_renew,transaction_date,membership_expire_date,is_cancel
aas8cfeoTWkcOJQckIfGHOG/kHNjDunFkiracCHf/Rk=,41,30,99,99,1,20160620,20160820,0
+YcnD93+6s1XtEpPw0wZ838synCoBUbjPtgfnByNzRI=,29,30,180,180,0,20160916,20161016,0
eRYlRTkpdi4DRlkCPQv5UT6pMQN82zC7q0ndQeqqmkE=,37,30,149,149,1,20160910,20161009,0
Bq53AJ4TfZ/lZ3bYfqLiQaYVxAFa9TumBw4qjCFL6xI=,41,30,99,99,1,20161004,20161104,0
w2B5xidXv7xznDGf8/ANp/QGSKqD7uqDBkep8sIyOoo=,41,30,99,99,1,20161003,20161103,0
QMnMEY866c5zTCWaNQTdBZWp96WCwuVKr11V32d8TDw=,38,7,0,0,0,20160729,20160812,0
pzasUTn+o5Run1ZYRP47ksvyfZt3sD7z9qL81+TS03c=,41,30,149,149,1,20150911,20170110,0
JP4Kp8haDeofLwx31Y/kp2wcBd2BnBtNoMmou9U1REM=,37,30,149,149,1,20161101,20161130,0
Fb2un2sOWfzTy1+WHKQXngt/UBpyIWy7LvwiDshJE4o=,37,30,149,149,1,20161017,20161117,0
P9wN07MBCsEtYTSbZ+hx67WDQ5H9FhYReeBTY08h8zc=,41,30,99,99,1,20170116,20170116,1
Ixek4WBdcQ87UHkfY0rR0k2s6o36QcYIBWHPVHvj4U0=,40,30,149,149,1,20160806,20160905,0
PICf8lFk9TtEFjUDUslG4o4epaluzU4MH9aa+Rxt9S8=,41,30,149,149,1,20161213,20161213,1
WcsQAWl31r6prTnnYwbY49qqDEXcdHEkh1PN5xHmcHw=,41,30,99,99,1,20160918,20161018,0
dgiXKNCnUYQdNL6hJ0C3jqoxR3QVtZljysY8N67TnYw=,38,30,149,149,0,20161118,20161218,0
FfFypHkplGPJBwS6Prlesk0C4x+zMTSNr8+dc+stRM8=,41,30,149,149,1,20161008,20161108,0
a4JSEAr9ZITWOyR8hd1eHjBsFyc6mc/JnDDF7Rss4Zs=,40,30,149,0,1,20160720,20160819,0
gF040kcb9/OWyEmXInp+CMhI2tBdOwiet3PAJZzd4LI=,37,30,149,149,1,20161116,20161215,0
Qk8ezzbyrwrqhxuFWnS4FUH202NjpWw/6qfmX1yLJ5k=,41,30,99,99,1,20160906,20161006,0
EZC5YGQ5CeRGFcXRA9KY1Ra5EWTtshXaiV3vVYh25CA=,27,30,149,149,1,20160726,20160825,0
H4EZR4mVQ3UqOTe+0qu6+AxFt8jsfmqgEKNsErb/R0I=,41,30,149,149,1,20160704,20160804,0
qfHWZJdu9yyQ+JBHgOaO5rxfxxa0N9QPbgF07tN72Oc=,36,30,180,180,0,20160807,20160906,0
usfcMeBMfckHWNkRn9rtaQKPMiDTPB5v/RzqueERzSI=,41,30,149,149,1,20161113,20161213,0
IKXI0KEoM3gPQlmZw6EcxXBNKNpndOWDfAiH/L7L+M4=,41,30,149,149,1,20151118,20170108,0
yD3CMmQrN74Zurncrw9ST4Mbb7lwujrIV3jp8W3TbP0=,39,30,149,149,1,20161130,20170123,0
BXC0f/6KzoScMK+ervdRa/3iyIcmkK3Knd26eQRDSho=,41,30,99,99,1,20160909,20161009,0
FvNRhwSsIVktjSkUxYfMxZWqIavwbeYu+mlJj5YOJC8=,41,30,129,129,1,20161020,20161120,0
nloW6uEXtOLbWfnmQuSlPGsfzf5/DIL/HuOnkbWPoI4=,40,30,149,149,1,20161123,20161222,0
K7mPTTdaaaopWM6jVPGrIogUyRHQv9Yd6bHJOGBjOZU=,41,30,149,149,1,20160827,20160927,0
2QWVXuP4aqvTAiiPc98vWjbtWSffv1kWI+INYCZtwLk=,29,30,180,180,0,20161012,20161111,0
MsGD7XkBdXv1wZi4nlC66IY+hSVbEugMR8oiLkpFgNQ=,41,30,99,99,1,20161004,20161104,0
N1j0FOweQWxulQ5k3dFINDt0PkLT7bMcvs1VbsilNLk=,41,30,149,149,1,20160709,20160809,0
ISWah2dahUgYglvXXecagnMFvjD5tFBf03xJcoODGVk=,41,30,99,99,1,20160801,20160901,0
HukClBmZ+A76qC43mcmcGP0ezvHUgdmxsXJ4dcHo0N4=,40,30,149,149,1,20161021,20161120,0
zMQPC42RZLIQBX2gIq2YMtkD+LrGYIxx2khyp32wVsM=,41,30,149,149,1,20150613,20160812,0
F3J+Gb6ErBBJtZPLrG45ReCr/VPnIbEHNF1xJnJChHU=,41,30,149,149,1,20161116,20161217,0
Rv0K8vIQpLhVKTzitVh/JP/zWIYTReh4q/Zme6lDO2I=,35,7,0,0,0,20160715,20160820,0
XU7DfrIj56EOhRFJ1YMIPykpmuOGD3YnX8fJ0Sbzzqg=,41,30,99,99,1,20170121,20170121,1
G3bcmClutOjvWO5O0p/Jdzw42MNb1e2ypjoTisBpT24=,41,30,149,149,1,20160911,20161011,0
z60QL68jJMxDbQtDtLADd9ayy/jKV0Lm+Zb7FvC8Ha0=,36,30,180,180,0,20161012,20161111,0
rdmkhkfBiDLrUIv9x3ZhI5106mY2OJROtIrmBk4diE8=,41,30,99,99,1,20160704,20160804,0
cyKOhfz1+kVnBn7VRG1Jw3NIQ9Iwi2IOv6alTmo+tkw=,41,30,129,129,1,20161028,20161104,1
HkW/+A7s1HCPqXchOqLbG+NNZ1tDjkZ9NbrWF945st0=,41,30,149,149,1,20150917,20161115,0
JlU2S0f9GmDqTXR++7FiL/TBZGYrHZtKmYgT2Urkjao=,41,30,99,99,1,20160731,20160831,0
IKXI0KEoM3gPQlmZw6EcxXBNKNpndOWDfAiH/L7L+M4=,41,30,149,149,1,20150718,20160908,0
/xCM8PyI1LRnDb+xmjvf1ZaWgrn1AEZwX5qwAXuqe/w=,38,30,149,149,0,20160921,20161021,0
0u9FsBPcWitF+uTC+36UyLn4v07dvJhW6untBt6+qg4=,38,30,149,149,0,20160827,20160927,0
RZJBTGs1pg/iTgF8JnxJFcaSSLyraV+1pe89jXRW1Lw=,38,30,149,149,0,20161217,20170116,0
4SnoPbwc7Hn0jTM6CzvD7+0oY/Db5HEvXFQrLAb03qU=,39,30,149,149,1,20161031,20161207,0
XFZMXyDdTZyWZnHryNpGAFLWHEA0p+S1jHLmzwW2F3M=,41,30,99,99,1,20160905,20161005,0
xKPvPHmfcPZYr8as6Zkl5XAXSM76DGzDJdFm38sEVw4=,35,7,0,0,0,20160721,20160826,0
LilvVs9HEMaw7CKhJ9t0Qly/GcM672Llp1hhPOKmWsk=,41,30,99,99,1,20161006,20161106,0
4cJudhVyuBC1jKN7Knjqkc5VdGizhVJ2UIrCwcq4edQ=,38,30,149,149,0,20160820,20160919,0
SeG6kkAELEBQpoMz9LIkjbvBXdVw/z6frwmX1lXKrGk=,30,30,129,129,1,20161031,20161130,0
6q7JGKrDjSpIqmsztHTpUlGJnv6zQEftV1CF1M3ACHc=,36,30,180,180,1,20160707,20160806,0
d7ZN/Vhva51G6Ycd2KE36YuguEJqIIcVPrA5dPod4RM=,34,30,149,149,1,20160831,20160930,0
ZQvLf/m/eBMthmI/9+IPUV5kIR5xd5TOJtbTIl8lBzs=,38,30,149,149,0,20161020,20161219,0
35aslKHfTWaIiRcy2CDBG7yFu9lqyPuoWTDAJWFt/gM=,28,30,150,150,0,20160910,20161010,0
pbsTMVRT5TjAbjfTvKPBo7beTJc09nrVb9JExmsvbh8=,41,30,149,149,1,20151022,20161221,0
JILRw77TIQzZOcTLCeM442BtmuTTnkgBtSFP3ij/ZOI=,41,30,99,99,1,20161107,20161207,0
1RCFqnVFBiNzQvuQkd6LGmglwRweozYyiRZYx0OIcuA=,37,30,149,149,1,20161017,20161118,0
nEa8cCRL3OUGud8TOUeUQrOq8DhkelzWYGNRxmjc4o0=,40,30,149,149,1,20161203,20170102,0
kGD7wCTtIYqzLpZ91ZZ34AB1EnEBbVA91OSrp+1WxEM=,30,30,149,149,1,20161116,20161215,0
rZjNeMM//OcMKRTlZiQXJF6DpKikQFOzyPCEzYsSWTc=,41,30,99,99,1,20161113,20161213,0
oFIy6auK1hwc6609Gdl93QdrwXYYwTC2Qmq9jBo5idU=,41,30,129,129,1,20160703,20160823,0
W4ktOdF0Zdrwbrx1Geudz3X0rHK6zs9y6rbYfEnNHt8=,41,30,149,149,1,20150706,20160814,0
J7oP20HumzWP2zP99kj7KeiEcdZ+wbFZrodfc9D5yqk=,40,30,149,149,1,20160901,20161006,0
GkhAWpzCsJjGkB20W/860tW9iL6SgjzwBQntMQkWRfA=,41,30,120,0,1,20160127,20170126,0
pchtwdMxs+ei6VUmEAYRppxRHDcqKhwq3QDHA8EKYxk=,41,30,149,149,1,20161114,20170115,0
IZibviqFNFrbF2+1JK/Za/eLsbMM592mDqWbpAOJTtk=,38,30,149,149,0,20160805,20160909,0
jqbvO/JTU/0SQttwn3YKyieE0OheJWfa8DiuOlD53d0=,41,30,99,99,1,20161018,20161118,0
fwMVw2nSMK9bIA21atfU4vwX1+o1FDxNC5Fv3RJcsNU=,41,30,99,99,1,20161108,20161208,0
0O63D6LoRzyknVmzBSRCX0L7PFK7r815OVmBc4eLbkg=,41,30,149,149,1,20160901,20161001,0
BBCFDRSA+HgEcY8ZU9Jqvd0wRP82rcRfYMDablgZOCE=,41,30,149,149,1,20150825,20160924,0
RAdzr7Z1XXg0duMnQdsfdqUrO9wmD3ognU0jLZIOLFY=,41,30,99,99,1,20161115,20161215,0
q3Pn+yaAr2Qv8wVHKFyhrq2jA3k8pXNf9ujIRAhqIKc=,41,30,99,99,1,20160909,20161009,0
DiEY0iktWs5YT6LARX7386RRfE7S0ljOCrhmwwsws80=,34,30,149,149,1,20160930,20161031,0
GtlFWMBaFaAPbw28YakaEqJsjV61oAysGfL31a8bK2s=,41,30,149,149,1,20150815,20161115,0
U7DfA7KEKRQYOIcCom/NfTCCnP7BCkNeG5htSNxF/n4=,41,30,99,99,1,20160914,20161014,0
9UAC9w2TGw1AxYT2xFQPhTeyLnlZ9kjcvtWuPiyyfr8=,40,30,149,149,1,20160901,20161006,0
gUAmspskAJpFswwtHvkeFSGABpmO8IHJgbZmjFojMLI=,41,30,129,129,1,20160815,20160915,0
GlndCGJwLDHXWYD9n9dIK0uCtoCRockUlw10Z9OYxdM=,41,30,149,149,1,20151025,20161125,0
dU90PpH4ZTWXT/YygBU+CgDChbPql7LXuL61SWpxirY=,38,30,149,149,0,20161026,20161125,0
as44yFUrtj+E4fBpFxny0ujJvnCgj8BHqADGphx5K9c=,33,30,149,149,1,20160731,20160831,0
if3d1PyzSIGzQ1pzGN0duh2ENW/Nmn5TUZhDTCS13N8=,41,0,0,149,1,20150513,20161022,0
rUCRhjjK2U5HqFFhqjGqIJIHQ4m7QresaZx9BehJlxM=,38,30,149,149,0,20160707,20160806,0
6fp8hUKzUu0K/EbxK5mmGWaNW7Tw8VGlKR056/O/E+Q=,30,30,149,149,1,20161112,20161211,0
a8LB7o2uefhi39+SaKwe+Ebb2wcjMuKaQo+e1q0RbgM=,41,30,99,99,1,20160719,20160819,0
rLZEEX9n4BrPx5rYGYmQQ1KK2YNllmAfU5QFicMiY5Y=,41,30,149,149,1,20150904,20161103,0
f3hjDKMDV68xxb81iT0N7kS1/FhkXORqn9+yvbNo99g=,36,30,180,180,1,20161020,20161219,0
Iu/xdXQ6yeSmp5HvEJ5irZapLF6JEE5syxdfBstKNWs=,41,30,99,99,1,20160731,20160831,0
6Av1P7UXyBbeJ7xECS9+Viz8IX4fUKud1mdWHYhXoAA=,38,30,149,149,0,20161203,20170102,0
TX9uzzTQoz7m4UIsvQiCykHy4a3/GwunkQ9GfsTajjg=,34,30,149,149,1,20161130,20161231,0
wUI05hTk1GwBieYSvUWt8Ixitdx5TPwtq9waaG6Q8jI=,41,30,99,99,1,20160905,20161005,0
gtaDVs7aOifeD2nVIo5fxjiMdptAiQqHIJLLWl9Kv9c=,41,30,149,149,1,20161019,20161120,0
T8P2c0rL5bzo0MEbV4cmwuNWnAYTGPrzMG4SXZek7kQ=,40,30,149,149,1,20161220,20170119,0
fHisJ+orsyiKWw3QKYmpDI7JIYqufAtyxtEGjfsHYa8=,41,30,99,99,1,20160801,20160901,0
r9NpatxgNWhjyHbT2e7at7n4L24g0LFwCOve1bXFrnc=,38,30,149,149,0,20160828,20160927,0
hRKfHySiDG+QP4cFr7vZ4dblltuKL0kb3wkKt9AokOQ=,38,30,149,149,0,20160731,20160830,0
VFsY0AVeSi1gUbhSdKuft/UtaZxqQRZisiG6c2CP34M=,38,30,100,100,0,20161205,20170104,0
Jf9ktMA8jNHDbk3oMjA6xZQ/PU2uj9+q1HxExPd0OF4=,21,30,149,149,1,20161031,20161206,0
lxVY5FOJD+16Xisr5T54ymbHYZFuCGDRjIgcHYFProU=,41,30,99,99,1,20160831,20161001,0
UbJM0cXo3SXwlU8gAuMHuLe7/5obwm/t/BTWrx8Y548=,41,30,149,149,1,20160923,20161023,0
UTCR8kUqJx0Evdq+XUwBCBuzfykpPPSPtuO63A6M74o=,36,30,180,180,0,20161128,20161228,0
vH6BB98wnTaX2g42hlSg4a/ilNktgN4Vj6jiRTs2Wm4=,41,30,99,99,1,20160713,20160813,0
bJ0QlnrlcWQz0KneoqlqGvbaqsUq+eLsJ9Q8vZCvh4M=,41,30,99,99,1,20160704,20160804,0
kD4KA6A8uxLDfS+qKR/se2mtyawSqEK4KK57cnuyr1M=,40,30,149,149,1,20160922,20161021,0
z4c8IGt1ajTiSS/OS6znyQLYbSI5u3byFpeq4NIPngc=,33,30,149,149,1,20160731,20160831,0
mt0b7/5THIHJxMpI7JN7buotDpsRHL7PodbAeTwFhe8=,40,30,149,149,1,20160809,20160908,0
d+9JuHziCeTZt5EWt659TdEFEUgfWXwB5L04sNIp+y4=,40,30,149,149,1,20161218,20170117,0
X2jdNo+XFYUdGsPZQZ8XDfdfyw30+MrYEV8m8AUHYC0=,33,30,149,149,1,20161031,20161130,0
JdmXXzLgL8NqEDBKXXPRSN6+H72vtMgzO7WQYfv3e34=,39,30,149,149,1,20160731,20160901,0
kefKeWG2rtPGFYvY04wtVDVXq4XsMxy2HZ3rXMnW/rM=,41,30,149,149,1,20161215,20170115,0
AGT9aoQYggAXFuS4dqgcAM0/uHyIfB8QupC01gM6jzU=,41,30,99,99,1,20161206,20170106,0
e1B5Z266ffTL0x1jElQBS90pmsX+zu2/TD3ldheyViA=,38,30,149,149,0,20160811,20160910,0
TFlXw9sK/mpJWUlacRouuHDCp+5nMkyU27eAK2QusRc=,41,30,99,99,1,20161015,20161115,0
akydJhoPL0bRQX/3nuFVU9QPT0bx4hXU+aawGEWMCyc=,41,30,99,99,1,20160914,20161014,0
H33/79vftM4vhXfjGToS4pPj3qxgRBIVgU6x5bN/zag=,41,30,99,99,1,20160916,20161016,0
8wGxSD9U1WTs3AJmpA0rHijyIZR0Wj8KluxBlVztEcQ=,40,30,149,149,1,20161106,20161205,0
UDdbFkhP2XzycPwj6IAq3BxpwWl0QG8fzYATNWoHN3Y=,41,30,99,99,1,20161112,20161212,0
zGAUHLzFK2NtAf5c4ae+Ec9BeZEU/qF7fCX4rd9HcRY=,41,30,149,149,1,20160907,20161007,0
s1/kpaWlAyteCWp9Rc8NryVnY8v1DYpd08NjhLD2tYk=,41,30,149,149,1,20161004,20161104,0
v2ummSjiDzosIHboV0qX3pEQ4TkAgrZMGo2gS3IG+hw=,41,0,0,149,1,20150424,20161221,0
VKJsSfEVJ1eIWSOVXbne1yfRixSchTLJgwxh3s3J914=,40,30,149,149,1,20161101,20161206,0
FXKxvEGRfiPyuXY5j/R671e0JqYj7JM0VxsUKH8hZBs=,41,30,149,149,1,20160715,20160816,0
lInqNvPEP7VoAEvwIE5eRXqw5u8dHX9DP0uDIEjxwkM=,39,30,149,149,1,20160930,20161110,0
CvcclFmcIrrZbeCuY4vKdcrARPQmPtfT8Sh9+BhpKWk=,38,30,149,149,0,20161001,20161031,0
mkySBY7byWj+VuVqmKZ3sMQMthz4/Fwi5WjqquQxE9Y=,41,30,149,149,1,20160714,20160814,0
i41hTEMl2CsjjgW5PkZryYC8aa3ouJomHHVlzt0U16g=,41,30,149,149,1,20150608,20160905,0
VTnqc3bOdSmutT281lgm6msLeCrLukpDJW22AA/79sc=,38,30,149,149,0,20161110,20161210,0
43eUZdD48eVbhkHKBNK5i58a/CtWLKzkWMlXacLGa14=,40,30,149,149,1,20161220,20170119,0
OQTPPvi8BgKT21RWNZOD5Outuuma992LMNxVak/4CUc=,41,30,99,99,1,20160916,20161016,0
S6c++4DBfVaWMbMJexf4ou5vwUdJGAieCHSEYde17+w=,38,30,149,149,0,20161125,20161225,0
VQlj+qp6oeOyeHapFJdA0Ce/rwLq9PLBwrAvKTLTWKU=,41,30,99,99,1,20170120,20170120,1
Gy0i8CzeZjv+Oq9E/drF7t9hm8QXuBl/AfrQsBV2FyM=,41,30,149,149,1,20151121,20161220,0
PyhPVLE6BBt4hJeLhrsBD9Ipdko4bMb/9uG2AsqzEJQ=,40,30,149,149,1,20161101,20161206,0
jkCgXm78xl3dv7nsosjMKlr65zQzj+Lr9P1WxA7qprk=,36,30,180,180,1,20161202,20161201,1
DcxcmRKllyJXYRGx77twSbefMP9xKktn7Jg1pY/Iwdg=,36,30,180,180,0,20161228,20170129,0
4gt5/ql0Jh9Sqm/V3XTqV85gQqT9GLTalSrjNUrUtxE=,41,30,99,99,1,20160825,20160925,0
pUwPX9OHY4lRVsFehk9DotZXfgYu0JpDKDIwm5In7M4=,41,30,149,149,1,20161219,20170119,0
dkTtoJEegWjhHxrBTh3+9thgIYmR1I1KSmLztg680ng=,40,30,149,149,1,20161210,20170109,0
UqUuKca+HUydF0mRxI93k2TPpvf2NXixUywp72M3gWw=,40,30,149,149,1,20170119,20170117,1
c8xxitfien7Zhfle7tg1BoCd6w193WXHSB3Vpe8IgWI=,40,30,149,149,1,20160822,20160922,0
oEoEA+6O9M/AXsD00wCwPrqO8ySaZWQ73I615L6JHzs=,41,30,99,99,1,20160801,20160901,0
/QzicukUjmsxgCqjhDIVbe3vi0Y5cKfma0U6h5RJjGs=,41,0,0,149,1,20150507,20161104,0
I9up4+TguZs2qWfJNw0CDIFpfUOWxF2It2qxcC5vrSM=,41,30,99,99,1,20161113,20170102,0
wvKQkYRFyIwkPxzjbxSjlVj/8w6Q27TUoQ53H3DIhe8=,41,30,99,99,1,20160811,20160911,0
QCjycZvQUDkQMepOssd2nzoe73R2irB/cVYgQ5xfyIY=,41,30,149,149,1,20150411,20161008,0
KVbt/b5cWLtjnNWzKwd+38NqtIfDmzydzyvbm7FxBm8=,38,30,149,149,0,20160905,20161005,0
dY5sCec1U5Es14S9JJruHZgPNeccMwq5UNlOVMq+oq4=,38,30,149,149,0,20161015,20161114,0
iJsoxxiAyENAJXNk/5mb+Pk3WacHDfUuU23noCf6CTU=,41,30,120,120,1,20161026,20161126,0
2Oq46oRgplh9C6G0PqTABOpl86ym1Chymfc8ANlcR5Q=,41,30,149,149,1,20161203,20170104,0
qiA4p26pGVUOdl49ahpyqqYOncrArGj8M7GdrgCkM2Y=,41,30,99,99,1,20161219,20170119,0
eEJZkkemSlBl1i6cxTQnV4O1TcCj9LYYI1fBQKGp0jM=,41,30,99,99,1,20170129,20170129,1
odLQXQ302+qnW/iUokQsBRBuFyZCe8lQV8lU3oZPSD0=,38,30,149,149,0,20160805,20160904,0
oWhVmrGX9xX6es6/MhC05XCSEE+aTOftxwg6g4qta0k=,41,30,149,149,1,20160720,20160820,0
IqXFTbhfbbBcE3C7XEqOrtgHjKoLhuow04Zdc9e8v54=,41,30,99,99,1,20160831,20160930,0
Xi+PJSrrmEKj2pymbhvrH9m+HdzyVoFDfFBzRvXoqWU=,38,30,149,149,0,20160817,20160916,0
wikBZqSloVtF45nvst5WfZ5tcoIL3R1BWPqbIp/rxPI=,38,30,149,149,0,20161228,20170127,0
if3d1PyzSIGzQ1pzGN0duh2ENW/Nmn5TUZhDTCS13N8=,41,30,149,149,1,20160813,20160913,0
zoMn7tYxpYtIg+NUMgFVwayhJFFDTbDgnNPdqEr2CZA=,41,30,149,149,1,20160808,20160909,0
9PjtaLbtvH0VeOUwU6sajnZqsevps1RROHJcOX4SgTE=,38,30,149,149,0,20160718,20160819,0
oFIy6auK1hwc6609Gdl93QdrwXYYwTC2Qmq9jBo5idU=,41,30,149,149,1,20150223,20161020,0
uOGpsRryHo8E2cx5dv0sDEb608XWn1TfGtuUP7cGHFA=,33,30,149,149,1,20160731,20160831,0
7MQ1ZDoqNcG3J/mTGaerwWtwGDKdJhlVj0tDOGOBLdg=,41,30,149,149,1,20161124,20161225,0
